=== Umbra Scalability Log for borrow on borrow (1 CPUs) ===
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000004 min, 0.000004 max, 0.000004 median, 0.0% relMAD, 0.000004 avg, 0.000000 sdev)
INFO:    [s] execution: (0.005044 min, 0.005044 max, 0.005044 median, 0.0% relMAD, 0.005044 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.001235 min, 0.001235 max, 0.001235 median, 0.0% relMAD, 0.001235 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010547 min, 0.010547 max, 0.010547 median, 0.0% relMAD, 0.010547 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000046 min, 0.000046 max, 0.000046 median, 0.0% relMAD, 0.000046 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010532 min, 0.010532 max, 0.010532 median, 0.0% relMAD, 0.010532 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000029 min, 0.000029 max, 0.000029 median, 0.0% relMAD, 0.000029 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010535 min, 0.010535 max, 0.010535 median, 0.0% relMAD, 0.010535 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000023 min, 0.000023 max, 0.000023 median, 0.0% relMAD, 0.000023 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010500 min, 0.010500 max, 0.010500 median, 0.0% relMAD, 0.010500 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000028 min, 0.000028 max, 0.000028 median, 0.0% relMAD, 0.000028 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010511 min, 0.010511 max, 0.010511 median, 0.0% relMAD, 0.010511 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000024 min, 0.000024 max, 0.000024 median, 0.0% relMAD, 0.000024 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010533 min, 0.010533 max, 0.010533 median, 0.0% relMAD, 0.010533 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000025 min, 0.000025 max, 0.000025 median, 0.0% relMAD, 0.000025 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010515 min, 0.010515 max, 0.010515 median, 0.0% relMAD, 0.010515 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000023 min, 0.000023 max, 0.000023 median, 0.0% relMAD, 0.000023 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010105 min, 0.010105 max, 0.010105 median, 0.0% relMAD, 0.010105 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000405 min, 0.000405 max, 0.000405 median, 0.0% relMAD, 0.000405 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010538 min, 0.010538 max, 0.010538 median, 0.0% relMAD, 0.010538 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000022 min, 0.000022 max, 0.000022 median, 0.0% relMAD, 0.000022 avg, 0.000000 sdev)
INFO:    [s] execution: (0.009599 min, 0.009599 max, 0.009599 median, 0.0% relMAD, 0.009599 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000944 min, 0.000944 max, 0.000944 median, 0.0% relMAD, 0.000944 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010471 min, 0.010471 max, 0.010471 median, 0.0% relMAD, 0.010471 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000076 min, 0.000076 max, 0.000076 median, 0.0% relMAD, 0.000076 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010455 min, 0.010455 max, 0.010455 median, 0.0% relMAD, 0.010455 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000171 min, 0.000171 max, 0.000171 median, 0.0% relMAD, 0.000171 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010348 min, 0.010348 max, 0.010348 median, 0.0% relMAD, 0.010348 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000205 min, 0.000205 max, 0.000205 median, 0.0% relMAD, 0.000205 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010368 min, 0.010368 max, 0.010368 median, 0.0% relMAD, 0.010368 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000207 min, 0.000207 max, 0.000207 median, 0.0% relMAD, 0.000207 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010365 min, 0.010365 max, 0.010365 median, 0.0% relMAD, 0.010365 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000214 min, 0.000214 max, 0.000214 median, 0.0% relMAD, 0.000214 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010386 min, 0.010386 max, 0.010386 median, 0.0% relMAD, 0.010386 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000198 min, 0.000198 max, 0.000198 median, 0.0% relMAD, 0.000198 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010403 min, 0.010403 max, 0.010403 median, 0.0% relMAD, 0.010403 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000201 min, 0.000201 max, 0.000201 median, 0.0% relMAD, 0.000201 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010378 min, 0.010378 max, 0.010378 median, 0.0% relMAD, 0.010378 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000198 min, 0.000198 max, 0.000198 median, 0.0% relMAD, 0.000198 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010425 min, 0.010425 max, 0.010425 median, 0.0% relMAD, 0.010425 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000213 min, 0.000213 max, 0.000213 median, 0.0% relMAD, 0.000213 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010464 min, 0.010464 max, 0.010464 median, 0.0% relMAD, 0.010464 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000205 min, 0.000205 max, 0.000205 median, 0.0% relMAD, 0.000205 avg, 0.000000 sdev)
