================================================================================
INDIVIDUAL RESULTS WITH TOTAL TIME
================================================================================
Program              Dataset              Load(s)      Exec(s)      Total(s)    
eclipse_v1           eclipse              0.5133       17.4375      17.9508     
eclipse_v2           eclipse              0.5994       16.6929      17.2923     
eclipse_v3           eclipse              0.5684       17.4129      17.9813     
eclipse_v4           eclipse              0.5628       17.2278      17.7906     
sg                   G5K-0.001            0.0098       3.3998       3.4096      
sg_v1                G5K-0.001            0.0099       3.4607       3.4706      
sg_v2                G5K-0.001            0.0116       3.2731       3.2847      
sg                   G10K-0.001           0.0122       18.9857      18.9979     
sg_v1                G10K-0.001           0.0151       19.4986      19.5137     
sg_v2                G10K-0.001           0.0133       18.2218      18.2351     
xalan                xalan                0.8220       5.3548       6.1768      
xalan_v1             xalan                0.6555       5.7353       6.3908      
xalan_v2             xalan                0.8040       5.3506       6.1546      
xalan_v3             xalan                0.8104       5.4786       6.2890      
xalan_v4             xalan                0.8238       5.7775       6.6013      
zxing                zxing                0.7538       7.3584       8.1122      
zxing_v1             zxing                0.7552       7.6297       8.3849      
zxing_v2             zxing                0.7583       7.3109       8.0692      
zxing_v3             zxing                0.7490       7.6784       8.4274      
zxing_v4             zxing                0.7716       7.7538       8.5254      

================================================================================
VARIANT GROUPS AND MEDIAN TIMES
================================================================================
Base Program         Dataset              Variant Count   Median Time(s) 
--------------------------------------------------------------------------------
andersen             large                4               5.7353         
andersen             medium               4               4.1511         
batik                batik                5               25.5688        
biojava              biojava              5               7.6175         
bipartite            mag                  4               76.7212        
bipartite            netflix              4               9.2999         
bipartite            roadNet-CA           4               1.3196         
borrow               borrow               4               41.4094        
cc                   arabic               2               67.7101        
cc                   livejournal          2               9.0668         
cc                   orkut                2               13.5492        
cc                   twitter              2               145.1440       
crdt                 crdt                 4               6.7896         
csda                 csda-httpd           2               1.3123         
csda                 csda-linux           2               6.3633         
csda                 csda-postgresql      2               4.8886         
cspa                 cspa-httpd           5               14.4275        
cspa                 cspa-linux           5               4.7574         
cspa                 cspa-postgresql      5               14.9761        
cvc5                 cvc5                 5               12.6483        
dyck                 kernel               4               1.3554         
dyck                 postgre              4               0.9437         
eclipse              eclipse              5               17.7906        
galen                galen                5               8.7198         
reach                arabic               2               40.7861        
reach                livejournal          2               5.1319         
reach                orkut                2               9.2332         
reach                twitter              2               94.8101        
sg                   G10K-0.001           6               18.6313        
sg                   G20K-0.001           3               90.7082        
sg                   G40K-0.001           3               815.9094       
sg                   G5K-0.001            3               3.4096         
tc                   G10K-0.001           2               8.5027         
tc                   G20K-0.001           2               42.3655        
tc                   G40K-0.001           2               305.7256       
xalan                xalan                5               6.2890         
z3                   z3                   5               27.8576        
zxing                zxing                5               8.3849         
